"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
153	0.0289988	0.2466538	0.6625835	0.3879011	0.4643875	0.0311515	0.7328531	0.6921854	0.7058677	0.6594886
154	0.0374533	0.2870343	0.7155602	0.3848416	0.3796167	0.0872450	0.6973953	0.5770089	0.7028479	0.7269936
155	0.0371685	0.2511524	0.6185384	0.4441558	0.3883232	0.0520555	0.6839824	0.6173060	0.6026392	0.6871275
156	0.0447248	0.3400301	0.7907692	0.5443632	0.4281903	0.0539765	0.6844512	0.6296841	0.5440084	0.6853104
157	0.0408351	0.2350706	0.6243650	0.4778075	0.3768016	0.0430147	0.6047903	0.7307492	0.7079796	0.7036924
158	0.0272997	0.3061120	0.5521390	0.3430865	0.4460704	0.0661963	0.5796062	0.7072494	0.6385087	0.7152167
159	0.0236438	0.3805986	0.6176661	0.4016797	0.3699351	0.0566558	0.6877174	0.6850830	0.6915898	0.5316586
160	0.0165676	0.2746031	0.6211241	0.4663754	0.3829593	0.0604806	0.5715647	0.6957684	0.7084786	0.6454503
161	0.0334585	0.2813314	0.6515396	0.4189494	0.3291352	0.0430589	0.7533043	0.7028524	0.6061856	0.5486379
162	0.0542244	0.2581260	0.5270654	0.4445754	0.5387499	0.0780676	0.5763477	0.7017600	0.5828117	0.5097104
163	0.0402316	0.2771536	0.7643751	0.5337644	0.3639926	0.0600263	0.6546174	0.5166069	0.7615598	0.6369743
164	0.0278280	0.2965442	0.6704946	0.3967339	0.3804560	0.0798446	0.6231079	0.5654389	0.6067319	0.6981549
165	0.0224546	0.2223282	0.5802116	0.3444085	0.4978169	0.0330905	0.7258585	0.6064813	0.5132741	0.6597999
166	0.0348881	0.2489755	0.6690458	0.4137813	0.4626178	0.0381350	0.6350375	0.6087177	0.7001576	0.6231110
167	0.0474279	0.2769940	0.5505390	0.3884447	0.3996318	0.0339049	0.6309773	0.6240626	0.6135189	0.6153974
168	0.0502179	0.2590633	0.6656531	0.4749760	0.4460780	0.0415420	0.7556869	0.6703236	0.6695763	0.6463766
169	0.0318191	0.3833670	0.7012975	0.4397364	0.4004001	0.0383483	0.6623778	0.7045323	0.6688346	0.6424251
170	0.0361385	0.3178252	0.6115183	0.4362788	0.5251624	0.0482710	0.7226423	0.5594543	0.6486134	0.5687000
171	0.0594829	0.2685822	0.6578925	0.4175904	0.4636256	0.0324904	0.6912914	0.6190636	0.6491198	0.5428158
172	0.0277454	0.3865032	0.7530078	0.3783474	0.3961753	0.0664519	0.7003622	0.5884525	0.5723669	0.5378940
173	0.0274405	0.3137814	0.6344083	0.4531609	0.4992562	0.0246705	0.6704538	0.6911822	0.7385450	0.6987837
174	0.0279185	0.2814721	0.6190376	0.4989138	0.4409366	0.0393518	0.6863259	0.6318270	0.7688915	0.6151573
175	0.0339096	0.2333128	0.6087972	0.4480002	0.4202807	0.0184725	0.6848071	0.6064773	0.8555111	0.6107323
176	0.0259562	0.3402066	0.6272355	0.3754301	0.3663929	0.0352768	0.5568475	0.6681925	0.6811565	0.6352557
177	0.0398834	0.3201220	0.5910794	0.4962601	0.3793919	0.0293015	0.6201548	0.6408754	0.6484848	0.5289318
178	0.0390848	0.2690715	0.6939338	0.3881844	0.4277366	0.0282928	0.7015413	0.6757324	0.6901473	0.6582761
179	0.0687062	0.3527287	0.6991139	0.4552059	0.4075694	0.0217146	0.7231565	0.6540622	0.7218775	0.5352479
180	0.0229118	0.3597448	0.7306956	0.4166890	0.4314598	0.0260981	0.5455006	0.5986702	0.6482406	0.5711457
181	0.0363039	0.2701609	0.6656871	0.4756513	0.3620498	0.0178108	0.6659051	0.6893568	0.8391328	0.6912006
182	0.0340032	0.2509222	0.5831319	0.5359933	0.4237846	0.0203513	0.6810446	0.6873876	0.6249918	0.7298319
183	0.0503509	0.3974808	0.6769593	0.4272375	0.3273085	0.0312851	0.7176418	0.5956561	0.6594260	0.6701590
184	0.0189300	0.2584455	0.7606700	0.4635519	0.4155989	0.0366824	0.6551577	0.7260267	0.6829728	0.6493420
185	0.0754299	0.3349810	0.6610879	0.4121368	0.3920328	0.0228145	0.6623791	0.5484163	0.7132411	0.8003474
186	0.0427034	0.4017634	0.7066092	0.4664560	0.4254058	0.0484868	0.5747767	0.6795871	0.6419172	0.6145428
187	0.0231251	0.4115707	0.6507435	0.4916018	0.3697256	0.0282526	0.5801459	0.5687633	0.6985838	0.6455396
188	0.0380104	0.3121999	0.5713467	0.4841390	0.3523403	0.0241354	0.7453537	0.5939735	0.6817005	0.6444405
189	0.0238689	0.3833328	0.6605060	0.4345666	0.3754975	0.0324805	0.6066258	0.5929052	0.7159151	0.7102985
190	0.0302071	0.3247433	0.7127798	0.4278359	0.4034360	0.0177049	0.6043521	0.6974006	0.6979774	0.5854549
191	0.0318106	0.2874249	0.5863163	0.4562254	0.3649178	0.0524293	0.6076712	0.5255052	0.8155671	0.6883491
192	0.0269094	0.2607038	0.6864496	0.4267944	0.4370941	0.0330121	0.7263733	0.5770940	0.7132784	0.6245632
193	0.0485687	0.3438704	0.6470886	0.4987582	0.4529291	0.0417263	0.6393276	0.6509779	0.6577837	0.6298598
194	0.0464709	0.3041159	0.6491072	0.4542775	0.4254965	0.0191332	0.7126298	0.6308591	0.7262513	0.7015486
195	0.0771658	0.3338341	0.5836983	0.4872156	0.3142150	0.0191686	0.6656514	0.6667131	0.7509140	0.6206234
196	0.0527301	0.3013707	0.7161900	0.4584799	0.3948779	0.0561381	0.5793209	0.6252901	0.6188600	0.5897181
197	0.0526621	0.2237618	0.7230802	0.5236055	0.4055264	0.0326332	0.5867056	0.7229565	0.7271852	0.7012396
198	0.0438167	0.3308658	0.7533127	0.4673544	0.3823909	0.0254595	0.7130964	0.6082565	0.6091590	0.6414540
199	0.0457306	0.3004257	0.5644228	0.4806660	0.3476962	0.0435977	0.7530182	0.7346370	0.7412434	0.7171231
200	0.0393861	0.2476436	0.5725736	0.3892201	0.3946786	0.0289071	0.7506216	0.5847761	0.6987440	0.7829293
201	0.0458818	0.2946459	0.5229280	0.5315412	0.4404663	0.0243063	0.8487151	0.5956286	0.7500694	0.6662003
202	0.0567344	0.3432177	0.6894182	0.4975984	0.3974045	0.0352960	0.7064899	0.5725772	0.6550812	0.6419904
203	0.0643352	0.3077907	0.7052936	0.4427340	0.3266667	0.0345461	0.7874810	0.6363110	0.8595328	0.5620910
204	0.0221102	0.2973886	0.6548067	0.3668655	0.4229996	0.0230331	0.6262697	0.6116286	0.6276962	0.7160245
205	0.0325334	0.3364614	0.6169839	0.3644199	0.3301309	0.0288048	0.6405532	0.6260763	0.6865437	0.7264096
206	0.0323134	0.3635338	0.6598535	0.4346192	0.4067806	0.0378515	0.6485467	0.5745560	0.6926684	0.8048247
207	0.0594411	0.2484746	0.6452876	0.5458120	0.4022925	0.0337724	0.7272716	0.5765478	0.7666880	0.6080576
208	0.0288827	0.3418027	0.7173641	0.4337214	0.3896416	0.0244102	0.6533781	0.6380502	0.7762400	0.5794511
209	0.0295206	0.3156997	0.6123303	0.3977149	0.4748748	0.0401078	0.6688642	0.6381051	0.6567925	0.6048292
210	0.0137046	0.4272142	0.7199011	0.4303122	0.3415287	0.0351212	0.6693742	0.6019848	0.6996445	0.7120681
211	0.0285340	0.2913835	0.7370355	0.4342930	0.4181168	0.0245523	0.6514367	0.6024246	0.6862081	0.5438113
212	0.0230083	0.3137616	0.6792085	0.3869357	0.4447013	0.0334669	0.7232057	0.6508696	0.6882060	0.7050127
213	0.0442664	0.4028116	0.6967947	0.4834755	0.4272217	0.0482187	0.7403369	0.5913135	0.8145090	0.5827951
214	0.0254215	0.3196446	0.6555243	0.4759556	0.3829698	0.0350593	0.6872346	0.5783156	0.8393391	0.6412861
